Country,Population density,GDP per capita,Population,Continent
Afghanistan,51.750916,2108.714,33753500.0,Asia
Albania,105.20007,11880.598,2882482.0,Europe
Algeria,16.602623,11751.634,39543148.0,Africa
Angola,22.561743,7967.104,28127724.0,Africa
Antigua and Barbuda,204.45,19345.018,89958.0,North America
Argentina,15.806346,23933.887,43257064.0,South America
Armenia,101.10987,11506.039,2878598.0,Asia
Aruba,579.2722,36490.523,104269.0,North America
Australia,3.0967472,47567.68,23820240.0,Oceania
Austria,104.73124,52873.86,8642422.0,Europe
Azerbaijan,119.3462,14852.611,9863485.0,Asia
Bahamas,39.23147,34170.23,392707.0,North America
Bahrain,1735.2318,48453.727,1362157.0,Asia
Bangladesh,1212.4913,4337.3857,157830000.0,Asia
Barbados,646.73254,15789.451,278095.0,North America
Belarus,47.79096,18362.746,9700609.0,Europe
Belgium,371.4764,49456.4,11248306.0,Europe
Belize,15.777466,9387.914,359884.0,North America
Benin,96.95629,2849.8206,10932791.0,Africa
Bermuda,1169.7222,77842.75,63165.0,North America
Bhutan,19.488306,9877.247,743284.0,Asia
Bolivia,10.237321,7825.7666,11090090.0,South America
Bosnia and Herzegovina,68.83453,12292.545,3524328.0,Europe
Botswana,4.067505,13682.704,2305177.0,Africa
Brazil,24.549505,15011.577,205188208.0,South America
Brunei,79.971344,62170.086,421449.0,Asia
Bulgaria,67.32917,19991.818,7309255.0,Europe
Burkina Faso,68.413826,1862.8547,18718022.0,Africa
Burundi,417.72403,781.5793,10727153.0,Africa
Cambodia,87.34153,3565.245,15417527.0,Asia
Cameroon,48.682384,3614.7556,23012650.0,Africa
Canada,3.9854734,47522.14,35732120.0,North America
Cape Verde,137.01463,5955.607,552169.0,Africa
Cayman Islands,253.89583,68135.46,60935.0,North America
Central African Republic,7.735948,795.03705,4819341.0,Africa
Chad,11.229572,1853.2594,14140277.0,Africa
Chile,24.0341,24464.746,17870122.0,South America
China,148.4538,12612.352,1393715456.0,Asia
Colombia,42.469337,14215.688,47119728.0,South America
Comoros,392.38098,3150.8777,730221.0,Africa
Congo,14.829839,5009.432,5064390.0,Africa
Costa Rica,95.87233,18956.191,4895241.0,North America
Cote d'Ivoire,74.203575,4347.778,23596738.0,Africa
Croatia,76.03326,24931.486,4254821.0,Europe
Curacao,381.95496,25604.93,169588.0,North America
Cyprus,128.49416,34573.973,1187286.0,Europe
Czechia,136.32126,36168.418,10523801.0,Europe
Democratic Republic of Congo,34.695713,1032.5719,78656904.0,Africa
Denmark,141.94487,52892.645,5677795.0,Europe
Djibouti,43.410957,4073.6226,1006266.0,Africa
Dominica,93.36933,12063.8955,70027.0,North America
Dominican Republic,215.39706,15145.47,10405832.0,North America
East Timor,81.09092,3228.675,1205822.0,Asia
Ecuador,65.2114,11908.216,16195904.0,South America
Egypt,98.17047,9999.19,97723792.0,Africa
El Salvador,300.72742,8266.723,6231072.0,North America
Equatorial Guinea,48.020462,24563.5,1346974.0,Africa
Estonia,30.752234,31038.805,1314658.0,Europe
Eswatini,65.9268,8088.7344,1133941.0,Africa
Ethiopia,90.7979,1750.6727,102471896.0,Africa
Fiji,50.20301,11903.502,917209.0,Oceania
Finland,18.028088,45072.59,5479457.0,Europe
France,116.53539,43345.785,63809768.0,Europe
Gabon,7.8725657,14892.036,2028524.0,Africa
Gambia,222.642,1905.823,2253137.0,Africa
Georgia,54.268745,12605.14,3771135.0,Asia
Germany,234.90436,51159.297,82073232.0,Europe
Ghana,126.88685,4616.6196,28870946.0,Africa
Greece,83.837425,28260.387,10806644.0,Europe
Grenada,349.98236,13948.467,118994.0,North America
Guatemala,149.31975,8125.656,16001105.0,North America
Guinea,47.31403,2053.1116,11626003.0,Africa
Guinea-Bissau,63.617744,1748.0292,1788931.0,Africa
Guyana,3.8356261,11446.764,755043.0,South America
Haiti,383.3005,3141.0469,10563762.0,North America
Honduras,83.06828,5180.1865,9294510.0,North America
Hong Kong,7047.471,57214.69,7399845.0,Asia
Hungary,107.87037,27528.307,9844250.0,Europe
Iceland,3.2834275,52142.934,331068.0,Europe
India,444.93173,5411.8755,1322866560.0,Asia
Indonesia,137.997,10121.841,259091968.0,Asia
Iran,50.410385,14010.858,81790848.0,Asia
Iraq,86.973915,9371.214,37757812.0,Asia
Ireland,67.72774,71490.805,4665764.0,Europe
Israel,370.04514,37321.016,8007777.0,Asia
Italy,203.6843,40247.83,60232908.0,Europe
Jamaica,258.02908,9800.507,2794455.0,North America
Japan,349.11093,40402.582,127250936.0,Asia
Jordan,106.92445,9912.713,9494250.0,Asia
Kazakhstan,6.6066265,24290.418,17835908.0,Asia
Kenya,82.31981,4163.925,46851496.0,Africa
Kiribati,144.09506,2038.4865,116717.0,Oceania
Kuwait,219.34596,53808.125,3908745.0,Asia
Kyrgyzstan,30.839338,4805.141,5914985.0,Asia
Laos,29.408232,6499.0728,6787420.0,Asia
Latvia,32.0095,26628.355,1991951.0,Europe
Lebanon,625.50745,16611.72,6398941.0,Asia
Lesotho,69.78037,2625.637,2118532.0,Africa
Liberia,47.885487,1581.055,4612330.0,Africa
Libya,3.5192385,19108.943,6192241.0,Africa
Lithuania,47.329353,30748.197,2963764.0,Europe
Luxembourg,221.1784,113182.73,569415.0,Europe
Macao,18700.396,116855.53,615243.0,Asia
Madagascar,42.71384,1508.3744,24850912.0,Africa
Malawi,179.66635,1440.8423,16938944.0,Africa
Malaysia,94.56349,24151.26,31068834.0,Asia
Maldives,1451.9667,18051.07,435590.0,Asia
Mali,14.844336,2060.0986,18112910.0,Africa
Malta,1426.8281,39903.938,456585.0,Europe
Marshall Islands,274.5889,4195.8345,49426.0,Oceania
Mauritania,3.8286843,5151.9,3946225.0,Africa
Mauritius,637.0241,20549.629,1293159.0,Africa
Mexico,61.80709,19542.89,120149896.0,North America
Micronesia (country),156.39572,3429.7427,109477.0,Oceania
Moldova,99.663376,10355.539,3277390.0,Europe
Mongolia,1.9035268,11134.802,2964756.0,Asia
Montenegro,47.135242,18266.879,633969.0,Europe
Morocco,77.706604,7687.691,34680456.0,Africa
Mozambique,34.135216,1271.9619,26843252.0,Africa
Myanmar,78.882065,3748.2942,51483956.0,Asia
Namibia,2.772667,10813.227,2282709.0,Africa
Nauru,560.35,12567.816,11207.0,Oceania
Nepal,192.6078,3260.035,27610328.0,Asia
Netherlands,506.12146,52974.117,17041110.0,Europe
New Zealand,17.43417,41020.312,4590591.0,Oceania
Nicaragua,52.34012,5563.004,6298610.0,North America
Niger,15.890212,1124.41,20128132.0,Africa
Nigeria,202.02222,5429.0996,183995776.0,Africa
North Macedonia,83.58307,15141.992,2107965.0,Europe
Norway,14.248067,62987.516,5190357.0,Europe
Oman,13.543729,35188.023,4191784.0,Asia
Pakistan,273.67334,4552.6055,210969296.0,Asia
Palau,38.743477,18402.53,17822.0,Oceania
Panama,53.344593,28512.926,3957102.0,North America
Papua New Guinea,19.171867,3813.1143,8682172.0,Oceania
Paraguay,15.549847,12806.097,6177954.0,South America
Peru,23.993643,12015.1875,30711864.0,South America
Philippines,345.5457,7235.0815,103031360.0,Asia
Poland,125.93718,27667.69,38553148.0,Europe
Portugal,113.15286,31118.791,10365436.0,Europe
Puerto Rico,394.28806,34311.04,3497335.0,North America
Qatar,210.14621,101971.99,2414580.0,Asia
Romania,86.518074,23937.46,19906078.0,Europe
Russia,8.833702,25488.096,144668384.0,Europe
Rwanda,471.94824,1844.7169,11642963.0,Africa
Saint Kitts and Nevis,183.9,28219.11,47814.0,North America
Saint Lucia,287.93115,14339.109,175638.0,North America
Saint Vincent and the Grenadines,273.05896,12762.135,106493.0,North America
Samoa,73.232376,5811.005,203586.0,Oceania
San Marino,559.88336,57542.984,33593.0,Europe
Sao Tome and Principe,209.52292,3762.5698,201142.0,Africa
Saudi Arabia,15.234681,47379.355,32749838.0,Asia
Senegal,74.565994,3012.3833,14356191.0,Africa
Serbia,85.976456,15581.014,7519501.0,Europe
Seychelles,215.78261,26198.72,99260.0,Africa
Sierra Leone,101.3408,1513.562,7314779.0,Africa
Singapore,7869.1084,89160.73,5650020.0,Asia
Sint Maarten (Dutch part),1183.1765,41852.406,40228.0,North America
Slovakia,112.82132,28728.156,5424449.0,Europe
Slovenia,103.33848,33799.727,2080865.0,Europe
Solomon Islands,21.88889,2534.7258,612670.0,Oceania
Somalia,21.940111,1029.6992,13763909.0,Africa
South Africa,46.061302,13887.211,55876504.0,Africa
South Korea,522.4836,38828.742,50994396.0,Asia
Spain,92.94511,37373.95,46431344.0,Europe
Sri Lanka,344.91904,12420.553,21336692.0,Asia
Sudan,20.434246,4718.919,38171172.0,Africa
Suriname,3.6889615,18768.795,575478.0,South America
Sweden,24.183018,50928.965,9849344.0,Europe
Switzerland,209.57913,68159.22,8281735.0,Europe
Tajikistan,61.417004,2959.9941,8524066.0,Asia
Tanzania,59.316803,2306.6382,52542824.0,Africa
Thailand,137.59206,15919.37,70294408.0,Asia
Togo,137.40085,1881.9052,7473232.0,Africa
Tonga,147.41667,5644.535,106140.0,Oceania
Trinidad and Tobago,284.63547,29876.98,1460180.0,North America
Tunisia,74.39353,10749.49,11557779.0,Africa
Turkey,103.48632,25594.66,79646176.0,Asia
Turkmenistan,12.270822,12540.284,5766427.0,Asia
Turks and Caicos Islands,38.48,26284.723,36556.0,North America
Tuvalu,363.2,3895.9304,10896.0,Oceania
Uganda,186.90083,2108.8604,37477356.0,Africa
Ukraine,77.63647,11216.118,44982568.0,Europe
United Arab Emirates,125.5549,68076.63,8916909.0,Asia
United Kingdom,269.60016,44948.336,65224368.0,Europe
United States,35.486267,58427.55,324607776.0,North America
Uruguay,19.442463,22486.428,3402820.0,South America
Uzbekistan,70.235825,6401.115,30949416.0,Asia
Vanuatu,22.678425,2859.3496,276450.0,Oceania
Vietnam,294.13806,8091.0903,92191400.0,Asia
Zambia,21.856941,3365.3792,16248231.0,Africa
Zimbabwe,36.59025,2313.8787,14154937.0,Africa
